name,id,team_abb,team_id,batting_average,on_base_percentage,slugging,appearances,plate_appearances,at_bats,hits,walks,singles,doubles,triples,quadruples,home_runs,runs_batted_in,strikeouts,sacrifice_bunts,sacrifice_flies,at_bats_risp,hits_risp,batting_average_risp,on_base_slugging,total_bases,hit_by_pitches,ground_outs,flyouts,gidp,stolen_bases,caught_stealing,runs
Knight Triumphant,cbd19e6f-3d08-4734-b23f-585330028665,LVRS,b72f3061-f573-40d7-832a-5ad475bd7909,0.267,0.317,0.545,99,417,389,104,28,56,31,2,0,15,32,58,0,0,36,9,0.25,0.862,212,0,149,64,2,11,1,51
Pudge Nakamoto,cc11963b-a05b-477b-b154-911dc31960df,KCBM,adc5b394-8f76-416d-9ce9-813706877b84,0.193,0.233,0.409,99,400,374,72,21,46,9,0,0,17,47,85,4,0,61,15,0.246,0.642,153,0,116,93,1,2,1,39
Eizabeth Guerra,cd417f8a-ce01-4ab2-921d-42e2e445bbe2,KCBM,adc5b394-8f76-416d-9ce9-813706877b84,0.228,0.249,0.43,99,365,351,80,11,51,7,13,0,9,38,139,3,0,80,17,0.213,0.679,151,0,88,32,1,6,1,30
Miguel Wheeler,cd68d3a6-7fbc-445d-90f1-970c955e32f4,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Yong Wright,ce0e57a7-89f5-41ea-80f9-6e649dd54089,CDMX,57ec08cc-0411-4643-b304-0e80dbc15ac7,0.165,0.234,0.396,99,351,321,53,29,30,7,10,0,6,19,86,1,0,45,8,0.178,0.63,127,0,112,58,1,4,3,34
Hendricks Richardson,cf8e152e-2d27-4dcc-ba2b-68127de4e6a4,HELL,f02aeae2-5e6a-4098-9842-02d2273f25c7,0.264,0.307,0.517,99,532,489,129,34,80,20,17,0,12,54,84,8,0,99,22,0.222,0.824,253,0,200,63,2,19,5,85
Denzel Scott,d2d76815-cbdc-4c4b-9c9e-32ebf2297cc7,SPY,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,0.292,0.339,0.617,37,165,154,45,11,26,8,2,0,9,18,20,0,0,25,7,0.28,0.956,95,0,43,43,0,2,1,26
Stu Trololol,d47dd08e-833c-4302-a965-a391d345455c,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.208,0.237,0.459,99,388,370,77,15,36,14,17,0,10,36,112,3,0,71,15,0.211,0.696,170,0,87,79,1,1,1,32
Richmond Harrison,d4a10c2a-0c28-466a-9213-38ba3339b65e,TGRS,747b8e4a-7e50-4638-a973-ea7950a3e739,0.231,0.286,0.509,99,525,481,111,39,70,10,8,0,23,59,102,5,0,67,23,0.343,0.795,245,0,203,38,5,27,7,76
Hiroto Cerna,d51f1fe8-4ab8-411e-b836-5bba92984d32,BOS,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,0.279,0.302,0.669,99,318,305,85,11,32,22,7,0,24,53,36,2,0,48,16,0.333,0.971,204,0,123,48,2,19,0,57
Joshua Watson,d6c69d2d-9344-4b19-85a4-6cfcbaead5d2,CDMX,57ec08cc-0411-4643-b304-0e80dbc15ac7,0.259,0.303,0.601,99,337,313,81,21,36,12,25,0,8,34,59,3,0,51,10,0.196,0.904,188,0,114,48,2,10,2,38
Tyler Violet,d744f534-2352-472b-9e42-cd91fa540f1b,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,1,0,0,0
